APK name,Type,,Comment,Note
acr.browser.barebones,Browser,,Blocking image,
adblock.browser.popup.detector,Browser,,Only capture small amount of traffic,
adblocker.lite.browser,Browser,,,
adsblocker.adsskiper.adsblockerbrowser.cuckoo,Browser,,apps not responding,
ai.blokee.browser.android,Browser,,Failed to install,
app.adlocker,VPN,,VPN based apps,
app.no.vpn,VPN,,VPN based apps,
app.stampy.browser,Browser,,,
appinventor.ai_rockanarghya.browser,Browser,,,
bg.alexxx.playtubeapp,Pluggin,Youtube,VPN based apps,Use to block youtube
br.marcelo.monumentbrowser,Browser,,,
browser4g.fast.internetwebexplorer,Browser,,,
care4u.browsecarecare4u.browsecare,Browser,,No action.View and exported component. Detecting proxy setting and refuse to create connection,
cm.browser.privatewindow.download,Browser,,,
co.blocksite,VPN,,VPN based apps,
co.crystalapp.crystal,Pluggin,Browser,Plugin apps for Samsung browser,Pending experiment
co.easy4u.ncleaner,VPN,,VPN based apps,Notification cleaner
co.easy4u.popup.ads.detector,Pluggin,General,,Capture pop up message
co.madseven.browser,Browser,,most of the activity failed to execute ,"org.chromium.chrome.browser.media.MediaLauncherActivity , sslv3 alert certificate unknown"
co.zew.deebrowser,Browser,,,sslv3 alert certificate unknown'
com.ad_detector.airpushdetector,VPN,,VPN based apps,
com.adblock.App,VPN,,VPN based apps,
com.adblocker.ashazapps,VPN,,VPN based apps,
com.adblocker.turbo.browser,Browser,,,
com.adguard.android.contentblocker,Pluggin,Browser,Plugin apps for several browser (Yandex and samsung),
com.adguard.vpn,VPN,,VPN based apps,sslv3 alert certificate unknown'
com.agooday.skipads,VPN,,VPN based apps,
com.airdatatech.optima,Browser,,,
com.alfeugds.adskipper,VPN,,VPN based apps,
com.alohamobile.browser.lite,Browser,,,
com.androidbull.incognito.browser,Browser,,,
com.antiporn.pornoblock.safebrowser,Browser,,,
com.appsisland.ads.shield.content.blocker,Pluggin,Browser,Plugin apps for several browser (Yandex and samsung),
com.appspot.swisscodemonkeys.detector,Pluggin,General,Plugin for Private Browser,
com.appybuilder.asier_oyanguren.adApp2,Remove,,apps not responding,
com.apusapps.browser,Browser,,,
com.atominvention.atombrowser,Browser,,,
com.AugmentedWorld.NOMOREADS,Remove,,not an adblocker. It?ÇÖs a game created using unity,
com.av1rus.adblockremover,Pluggin,General,Suspicious apps. Require access to rooted device.,
com.avast.android.secure.browser,Browser,,,
com.avg.android.secure.browser,Browser,,,
com.avira.android,Pluggin,General,Provide web protection. Contain apsflyer ads library. No adblocker,
com.bestnewstopadvideoonlinetips.govidestopdeguidetips,Remove,,The apps showing the adds and to install other apps,maybe should be exclude from the sample
com.betafish.adblocksbrowser,Pluggin,Browser,Plugin apps for Samsung browser,Pending experiment
com.blackbrowser.newsoft.blackbrowser,Browser,,,
com.blindcut.flutter.browser,Browser,,The default search engine is Duckduckgo,
com.blink.browser,Browser,,,
com.blocker.adblockxprotector,VPN,,Doesn?ÇÖt have action.VIEW. The apps not responding. Problably VPN base apps,
com.blocking.sites,Browser,,,
com.blocknotification.gamemode,Pluggin,General,Doesn?ÇÖt have action.VIEW. Game mode apps to block all notification,
com.brave.browser,Browser,,"The manifest in this apps using aliases. Instead of using android, it use n1 as alias for each execution",
com.browser.securebrowser,Browser,,"All connection is refused because the apps detecting untrusted connection, except for chinadaily",
com.browser.tssomas,Browser,,,
com.browser.yo.indian,Browser,,Initiating HTTP/2 connections with prior knowledge are currently not supported.,
com.cake.browsercom.cake.browser,Browser,,,
com.camhart.pornblocker,VPN,,VPN based apps,
com.chimbori.hermitcrab,Browser,,,
com.cliqz.browser,Browser,,,
com.cloudflare.onedotonedotonedotone,VPN,,VPN based apps,
com.cobalt.app.browser,Browser,,,
com.coccoc.trinhduyetcom.coccoc.trinhduyet,Browser,,,
com.comodo.cisme.antivirus,VPN,,VPN based apps,Antivirus that provide secure connection. Need registration to use this apps
com.consulenza.umbrellacare,VPN,,VPN based apps,
com.cookiegames.smartcookie,Browser,,,sslv3 alert certificate unknown'
com.crdev.AdsStopper,VPN,,VPN based apps,
com.creativetrends.simplicity.app,Browser,,,
com.disconnect.samsungcontentblocker,Pluggin,Browser,Plugin apps for Samsung browser,
com.dolphin.browser.android.jp,Browser,,,
com.dolphin.browser.engine,Browser,,INSTALL_FAILED_VERIFICATION_FAILURE],
com.droid.netflixIMDB,Pluggin,Youtube,Plugin apps to block ads and popup messages on Youtube and netflix,
com.duckduckgo.mobile.android,Browser,,,
com.eagle.web.browser.fast.privacy.browsers.donwloads.free,Browser,,,
com.eagle.web.browser.internet.privacy.browser,Browser,,,
com.elrond.maiar,Browser,,apps not responding,
com.emmanuelmolefi.skipadsapp,Pluggin,General,Plugin apps for existing browser,
com.epic.browsercom.epic.browser,Browser,,,
com.eset.ems2.gp,Pluggin,General,Anti virus needs login to use it,
com.everaccountable.bulldog,VPN,,VPN based apps,
com.expecode.towebcom.expecode.towebcom.familyfirsttechnology.pornblocker,VPN,,"VPN based apps, need to register before use",
com.farestld.black_tiger_browser,Browser,,,
com.fast.turbobrowser,Browser,,,
com.Fullforce.browser,Browser,,,
com.gc.adsSkipads,Pluggin,Youtube,INSTALL_FAILED_VERIFICATION_FAILURE],
com.getfilefrom.browserdownloader,Browser,,,
com.gobest.goclean,Remove,,This app detecting other apps that containing adblocker. Not the adblocker itself. Consider to remove from sample list,
com.haasinc.falKonpp,Browser,,,
com.hamatim.adwarehunter,Pluggin,General,This app need access to Android accessibility to capture all traffic of other apps installed. ,
com.hanstudio.notifyblocker,Pluggin,General,This is notification blocker app. It need access to notification manager at OS level.,
com.hsv.freeadblockerbrowser,Browser,,,
com.hsv.powerbrowser,Browser,,,
com.hsv.privatebrowser,Browser,,,
