,app_id,first_level_domain
0,jp.myumyu.piggybrowser,consensu.org
1,jp.myumyu.piggybrowser,ampproject.org
2,jp.myumyu.piggybrowser,indexww.com
3,jp.myumyu.piggybrowser,moatads.com
4,jp.myumyu.piggybrowser,google.com
5,jp.myumyu.piggybrowser,doubleclick.net
6,jp.myumyu.piggybrowser,googletagmanager.com
7,jp.myumyu.piggybrowser,adsrvr.org
8,jp.myumyu.piggybrowser,demdex.net
9,jp.myumyu.piggybrowser,rlcdn.com
10,jp.myumyu.piggybrowser,dotmetrics.net
11,jp.myumyu.piggybrowser,permutive.com
12,jp.myumyu.piggybrowser,google-analytics.com
13,jp.myumyu.piggybrowser,taboola.com
14,jp.myumyu.piggybrowser,gstatic.com
15,jp.myumyu.piggybrowser,criteo.net
16,jp.myumyu.piggybrowser,bing.com
17,jp.myumyu.piggybrowser,ads-twitter.com
18,jp.myumyu.piggybrowser,chartbeat.com
19,jp.myumyu.piggybrowser,experianmatch.info
20,jp.myumyu.piggybrowser,facebook.net
21,jp.myumyu.piggybrowser,appsflyer.com
22,jp.myumyu.piggybrowser,quantserve.com
23,jp.myumyu.piggybrowser,casalemedia.com
24,jp.myumyu.piggybrowser,cpx.to
25,jp.myumyu.piggybrowser,sharethrough.com
26,jp.myumyu.piggybrowser,rubiconproject.com
27,jp.myumyu.piggybrowser,criteo.com
28,jp.myumyu.piggybrowser,justpremium.com
29,jp.myumyu.piggybrowser,pubmatic.com
30,jp.myumyu.piggybrowser,adnxs.com
31,jp.myumyu.piggybrowser,everesttech.net
32,jp.myumyu.piggybrowser,googletagservices.com
33,jp.myumyu.piggybrowser,google.com.au
34,jp.myumyu.piggybrowser,s-onetag.com
35,jp.myumyu.piggybrowser,fonts.googleapis.com
36,jp.myumyu.piggybrowser,googlesyndication.com
37,jp.myumyu.piggybrowser,krxd.net
38,jp.myumyu.piggybrowser,ml314.com
39,jp.myumyu.piggybrowser,sail-horizon.com
40,jp.myumyu.piggybrowser,chartbeat.net
41,jp.myumyu.piggybrowser,sail-personalize.com
42,jp.myumyu.piggybrowser,openx.net
43,jp.myumyu.piggybrowser,360yield.com
44,jp.myumyu.piggybrowser,lijit.com
45,jp.myumyu.piggybrowser,quantcount.com
46,jp.myumyu.piggybrowser,ad-m.asia
47,jp.myumyu.piggybrowser,facebook.com
48,jp.myumyu.piggybrowser,npttech.com
49,jp.myumyu.piggybrowser,mathtag.com
50,jp.myumyu.piggybrowser,crwdcntrl.net
51,jp.myumyu.piggybrowser,turn.com
52,jp.myumyu.piggybrowser,eyeota.net
53,jp.myumyu.piggybrowser,ladsp.jp
54,jp.myumyu.piggybrowser,ladsp.com
55,jp.myumyu.piggybrowser,socdm.com
56,jp.myumyu.piggybrowser,newrelic.com
57,jp.myumyu.piggybrowser,nr-data.net
58,jp.myumyu.piggybrowser,us-central1-esi-consumer.cloudfunctions.net
59,jp.myumyu.piggybrowser,ctfassets.net
60,jp.myumyu.piggybrowser,googleoptimize.com
61,jp.myumyu.piggybrowser,picdn.net
62,jp.myumyu.piggybrowser,huffpost.com
63,jp.myumyu.piggybrowser,play.googleapis.com
64,jp.myumyu.piggybrowser,foresee.com
65,jp.myumyu.piggybrowser,cfigroup.com
66,jp.myumyu.piggybrowser,4seeresults.com
67,jp.myumyu.piggybrowser,go.com
68,jp.myumyu.piggybrowser,twimg.com
69,jp.myumyu.piggybrowser,nrk.no
70,jp.myumyu.piggybrowser,medietall.no
71,jp.myumyu.piggybrowser,tns-cs.net
