,app_id,netloc
0,org.mozilla.firefox,location.services.mozilla.com
1,org.mozilla.firefox,mobile.cdn.mozilla.net
2,org.mozilla.firefox,www.vipleague.tv
3,org.mozilla.firefox,aus5.mozilla.org
4,org.mozilla.firefox,c2.taboola.com
5,org.mozilla.firefox,s13.cnzz.com
6,org.mozilla.firefox,nr-events.taboola.com
7,org.mozilla.firefox,js.ptengine.cn
8,org.mozilla.firefox,cl2.webterren.com
9,org.mozilla.firefox,c.cnzz.com
10,org.mozilla.firefox,cl0.webterren.com
11,org.mozilla.firefox,cnzz.mmstat.com
12,org.mozilla.firefox,collect.ptengine.cn
13,org.mozilla.firefox,pcookie.cnzz.com
14,org.mozilla.firefox,gzs20.cnzz.com
