,app_id,netloc
0,jp.myumyu.piggybrowser,cdn.ampproject.org
1,jp.myumyu.piggybrowser,quantcast.mgr.consensu.org
2,jp.myumyu.piggybrowser,js-sec.indexww.com
3,jp.myumyu.piggybrowser,match.adsrvr.org
4,jp.myumyu.piggybrowser,www.googletagmanager.com
5,jp.myumyu.piggybrowser,securepubads.g.doubleclick.net
6,jp.myumyu.piggybrowser,uk-script.dotmetrics.net
7,jp.myumyu.piggybrowser,z.moatads.com
8,jp.myumyu.piggybrowser,www.google.com
9,jp.myumyu.piggybrowser,cdn.permutive.com
10,jp.myumyu.piggybrowser,static.criteo.net
11,jp.myumyu.piggybrowser,mb.moatads.com
12,jp.myumyu.piggybrowser,px.moatads.com
13,jp.myumyu.piggybrowser,experianmatch.info
14,jp.myumyu.piggybrowser,ml314.com
15,jp.myumyu.piggybrowser,ak.sail-horizon.com
16,jp.myumyu.piggybrowser,www.gstatic.com
17,jp.myumyu.piggybrowser,videohub.playinc.uk.com
18,jp.myumyu.piggybrowser,cse.google.com
19,jp.myumyu.piggybrowser,assets-jpcust.jwpsrv.com
20,jp.myumyu.piggybrowser,www.npttech.com
21,jp.myumyu.piggybrowser,api.sail-personalize.com
22,jp.myumyu.piggybrowser,dpm.demdex.net
23,jp.myumyu.piggybrowser,test.quantcast.mgr.consensu.org
24,jp.myumyu.piggybrowser,independent.demdex.net
25,jp.myumyu.piggybrowser,api.rlcdn.com
26,jp.myumyu.piggybrowser,htlb.casalemedia.com
27,jp.myumyu.piggybrowser,fastlane.rubiconproject.com
28,jp.myumyu.piggybrowser,btlr.sharethrough.com
29,jp.myumyu.piggybrowser,sync.crwdcntrl.net
30,jp.myumyu.piggybrowser,ps.eyeota.net
31,jp.myumyu.piggybrowser,bidder.criteo.com
32,jp.myumyu.piggybrowser,pre.ads.justpremium.com
33,jp.myumyu.piggybrowser,hbopenbid.pubmatic.com
34,jp.myumyu.piggybrowser,ib.adnxs.com
35,jp.myumyu.piggybrowser,secure.adnxs.com
36,jp.myumyu.piggybrowser,www.google-analytics.com
37,jp.myumyu.piggybrowser,cdn.taboola.com
38,jp.myumyu.piggybrowser,bat.bing.com
39,jp.myumyu.piggybrowser,static.ads-twitter.com
40,jp.myumyu.piggybrowser,static.chartbeat.com
