,app_id,first_level_domain
0,net.onecook.browser,firebaseinstallations.googleapis.com
1,net.onecook.browser,toiimg.com
2,net.onecook.browser,facebook.net
3,net.onecook.browser,tvid.in
4,net.onecook.browser,growthrx.in
5,net.onecook.browser,google-analytics.com
6,net.onecook.browser,unpkg.com
7,net.onecook.browser,iimg.in
8,net.onecook.browser,imasdk.googleapis.com
9,net.onecook.browser,google.com
10,net.onecook.browser,jquery.com
11,net.onecook.browser,google.com.au
12,net.onecook.browser,popper.ai
13,net.onecook.browser,clmbtech.com
14,net.onecook.browser,gadgetsnow.com
15,net.onecook.browser,timespoints.com
16,net.onecook.browser,mediawire.in
17,net.onecook.browser,go-mpulse.net
18,net.onecook.browser,en25.com
19,net.onecook.browser,cookielaw.org
20,net.onecook.browser,googletagmanager.com
21,net.onecook.browser,sophi.io
22,net.onecook.browser,eloqua.com
23,net.onecook.browser,onetrust.com
24,net.onecook.browser,newscgp.com
25,net.onecook.browser,qualtrics.com
26,net.onecook.browser,adsrvr.org
27,net.onecook.browser,rlcdn.com
28,net.onecook.browser,privacy-mgmt.com
29,net.onecook.browser,rkdms.com
30,net.onecook.browser,casalemedia.com
31,net.onecook.browser,dowjones.io
32,net.onecook.browser,newrelic.com
33,net.onecook.browser,jwplayer.com
34,net.onecook.browser,permutive.app
35,net.onecook.browser,permutive.com
36,net.onecook.browser,etimg.com
37,net.onecook.browser,pub.network
38,net.onecook.browser,dowjoneson.com
39,net.onecook.browser,prmutv.co
40,net.onecook.browser,timesinternet.in
41,net.onecook.browser,nr-data.net
42,net.onecook.browser,adnxs.com
43,net.onecook.browser,2mdn.net
44,net.onecook.browser,akamaihd.net
45,net.onecook.browser,aaxads.com
46,net.onecook.browser,aaxdetect.com
47,net.onecook.browser,videoplayerhub.com
48,net.onecook.browser,browsiprod.com
49,net.onecook.browser,btloader.com
50,net.onecook.browser,ad-delivery.net
51,net.onecook.browser,guim.co.uk
52,net.onecook.browser,confiant-integrations.global.ssl.fastly.net
53,net.onecook.browser,imrworldwide.com
54,net.onecook.browser,gu-web.net
55,net.onecook.browser,guardianapis.com
56,net.onecook.browser,guardianapps.co.uk
57,net.onecook.browser,sp-prod.net
58,net.onecook.browser,ads-twitter.com
59,net.onecook.browser,polyfill.io
60,net.onecook.browser,facebook.com
61,net.onecook.browser,qantas.com
62,net.onecook.browser,moatads.com
63,net.onecook.browser,parsely.com
64,net.onecook.browser,cloudflareinsights.com
65,net.onecook.browser,samsung.com
66,net.onecook.browser,iteratehq.com
67,net.onecook.browser,bizj.us
68,net.onecook.browser,licdn.com
69,net.onecook.browser,aamsitecertifier.com
70,net.onecook.browser,linkedin.com
71,net.onecook.browser,outbrain.com
72,net.onecook.browser,adsymptotic.com
73,net.onecook.browser,warnermediacdn.com
74,net.onecook.browser,ngtv.io
75,net.onecook.browser,optimizely.com
76,net.onecook.browser,jsdelivr.net
77,net.onecook.browser,turner.com
78,net.onecook.browser,s-onetag.com
79,net.onecook.browser,ml314.com
80,net.onecook.browser,wmcdp.io
81,net.onecook.browser,nyt.com
82,net.onecook.browser,cnn.io
83,net.onecook.browser,adsafeprotected.com
84,net.onecook.browser,w-x.co
85,net.onecook.browser,d2uap9jskdzp2.cloudfront.net
86,net.onecook.browser,clean.gg
87,net.onecook.browser,instana.io
88,net.onecook.browser,beemray.com
89,net.onecook.browser,summerhamster.com
90,net.onecook.browser,geoedge.be
91,net.onecook.browser,zeustechnology.com
92,net.onecook.browser,webcontentassessor.com
93,net.onecook.browser,ipmeta.io
94,net.onecook.browser,brandmetrics.com
95,net.onecook.browser,pusher.com
96,net.onecook.browser,gstatic.com
97,net.onecook.browser,forbesimg.com
98,net.onecook.browser,speedcurve.com
99,net.onecook.browser,sharethrough.com
100,net.onecook.browser,doubleclick.net
101,net.onecook.browser,yahoo.com
102,net.onecook.browser,clarium.global.ssl.fastly.net
103,net.onecook.browser,wfxtriggers.com
104,net.onecook.browser,trustarc.com
105,net.onecook.browser,npttech.com
106,net.onecook.browser,p-n.io
107,net.onecook.browser,jwpsrv.com
108,net.onecook.browser,jwplatform.com
109,net.onecook.browser,rubiconproject.com
110,net.onecook.browser,pubmatic.com
111,net.onecook.browser,bidswitch.net
