file_name,activities,exp_act,services,exp_serv,receivers,exp_rec,providers,exp_prov
com.porn.blocker.purity.browser.apk,34,4,15,3,17,8,4,0
com.outcoder.browser.apk,20,0,0,0,0,0,1,0
com.msw.pornblocker.apk,13,0,12,3,12,2,2,0
to.freedom.android2.apk,16,0,17,9,6,4,4,0
com.hsv.powerbrowser.apk,90,17,82,8,38,13,5,1
com.vivaldi.browser.apk,60,15,72,6,25,5,3,1
com.symantec.securewifi.apk,17,1,18,4,19,5,6,0
com.m24apps.appblocker.apk,55,1,19,3,13,6,7,0
com.ume.browser.international.apk,60,11,21,4,24,7,11,0
com.transsion.phoenix.apk,33,19,23,7,17,9,10,1
com.adblock.App.apk,4,0,3,0,1,1,2,1
org.blpomda.alarm.apk,13,4,12,2,13,11,4,0
acr.browser.barebones.apk,4,3,0,0,0,0,1,0
com.droid.netflixIMDB.apk,3,0,6,1,4,2,2,0
com.adblocker.ashazapps.apk,4,0,3,0,1,1,2,1
com.sibimobilelab.amazebrowser.apk,13,3,6,0,1,0,0,0
com.mario.app.protection.apk,8,0,9,1,5,3,2,0
net.bluehack.blu.apk,15,4,9,3,4,3,4,0
com.indian.browser.fast.web.browsing.free.apk,9,2,2,0,2,1,1,1
com.protectstar.firewall.apk,17,0,8,1,5,3,2,0
care4u.browsecare.apk,13,1,9,1,9,1,5,0
com.uc.browser1.apk,12,7,7,0,4,3,1,0
com.adguard.vpn.apk,14,3,8,5,9,2,3,0
com.dolphin.browser.android.jp.apk,87,11,15,2,19,10,7,1
com.hamatim.adwarehunter.apk,1,0,6,1,2,0,1,0
com.maximebertheau.uninstaller.apk,2,0,3,0,3,2,3,0
com.india.ucbrowser.apk,4,0,0,0,0,0,3,1
fishpowered.best.browser.apk,11,0,5,0,3,2,2,0
com.vpngalaxy.app.apk,12,1,17,3,9,7,3,1
live.teekamsuthar.mutify.apk,4,0,2,1,2,1,0,0
com.joettaapps.adblocker.apk,22,1,18,4,9,7,2,0
com.yandex.browser.alpha.apk,132,22,98,10,58,25,33,10
com.avira.android.apk,106,14,46,14,32,14,7,1
net.upx.proxy.browser.apk,49,14,77,7,32,6,5,1
com.haasinc.falKonpp.apk,7,1,2,0,0,0,0,0
com.wavesnet.www.mybrowser1.apk,1,0,0,0,0,0,0,0
org.adblockplus.browser.apk,53,14,78,6,29,6,4,1
com.rucksack.adblock.apk,29,4,16,2,17,12,7,0
ru.sputnik.browser.apk,4,1,13,2,6,5,3,0
