file_name,activity_perc,service_perc,receiver_perc,provider_per
adblock.browser.lightning.apk,76.92,0.0,0.0,9.09
com.adsbrower.apk,6.67,0.0,100.0,100.0
com.ilegendsoft.mercury.apk,8.45,0.0,100.0,0.0
com.ideashower.readitlater.pro.apk,24.39,0.0,55.56,0.0
acr.browser.barebones.apk,75.0,0.0,55.56,0.0
tr.abak.simsekTarayici.apk,0.0,50.0,66.67,0.0
com.marthogames.starlander.apk,0.0,50.0,66.67,0.0
com.dolphin.browser.android.jp.apk,13.1,0.0,61.54,20.0
com.wDeepSeacrhBrowser.apk,0.0,0.0,100.0,20.0
com.ghostery.android.ghostery.apk,14.29,0.0,100.0,20.0
com.jakkarrlgames.mathguru.apk,0.0,0.0,100.0,20.0
com.jiran.xkeeperMonitor.apk,0.0,0.0,75.0,20.0
com.cleanmaster.security.apk,15.06,26.67,69.44,26.32
org.adblockplus.browser.apk,88.8,6.67,69.23,22.22
com.flyingcat.retroracing.apk,0.0,6.67,69.23,22.22
ads.blocker.browser.apk,28.57,100.0,100.0,22.22
com.baidu.browser.inter.apk,3.7,9.09,87.5,50.0
org.torproject.android.apk,0.0,50.0,100.0,50.0
org.zirco.apk,0.0,50.0,100.0,50.0
com.lichme.wootstalker.apk,0.0,0.0,100.0,50.0
free.publicvpn.apk,0.0,0.0,100.0,50.0
com.jrzheng.supervpnfree.apk,9.09,0.0,50.0,50.0
com.wFastWebbrowserFree.apk,0.0,0.0,100.0,50.0
com.tigervpns.android.apk,4.76,40.0,83.33,0.0
com.blmonitor.apk,0.0,0.0,100.0,0.0
com.betafish.adblocksbrowser.apk,0.0,0.0,100.0,100.0
net.ac.browser.apk,83.33,0.0,100.0,100.0
com.opera.browser.apk,0.0,0.0,80.0,0.0
com.play.adskip.apk,3.12,0.0,100.0,100.0
com.kiddoware.kidsafebrowser.apk,0.0,0.0,100.0,100.0
org.adblockplus.android.apk,0.0,0.0,100.0,100.0
com.paloaltonetworks.globalprotect.apk,6.67,50.0,75.0,100.0
com.titlisapp.simpleflv.apk,0.0,50.0,75.0,100.0
com.yandex.browser.apk,30.77,4.88,70.0,40.0
com.cliqz.browser.apk,42.86,20.0,66.67,0.0
com.imoblife.checkadd_plug_in.apk,25.0,20.0,66.67,0.0
com.opera.browser.beta.apk,0.0,3.12,81.25,0.0
com.frozenriver.sigmavpn.apk,0.0,100.0,81.25,0.0
com.hsv.freeadblockerbrowser.apk,14.29,8.33,61.11,33.33
com.mobligation.timberadblock.apk,0.0,0.0,75.0,50.0
com.wMagnetobrowser.apk,0.0,0.0,83.33,50.0
co.crystalapp.crystal.apk,0.0,0.0,100.0,100.0
trim.altict.com.apk,75.0,0.0,100.0,100.0
com.whatsapp.apk,19.63,15.79,72.73,0.0
com.posstream.Monitor.apk,14.29,0.0,50.0,0.0
com.tako.android.cleanpage.apk,0.0,50.0,100.0,0.0
com.aqh.medways.apk,66.67,0.0,100.0,0.0
com.opera.mini.native.apk,40.0,0.0,25.0,20.0
org.mozilla.firefox.apk,37.5,5.26,50.0,0.0
com.dolphin.browser.express.web.apk,14.12,12.5,55.56,20.0
com.adguard.android.contentblocker.apk,0.0,12.5,55.56,20.0
com.mokee.yubrowser.apk,13.51,8.0,43.75,75.0
com.secore.privacyshield.apk,0.0,100.0,100.0,75.0
com.excelliance.adblock.apk,6.03,1.16,100.0,75.0
co.zew.deebrowser.apk,81.82,0.0,100.0,75.0
com.jet.browser.apk,62.5,0.0,66.67,75.0
com.ksmobile.cb.apk,25.0,0.0,85.71,50.0
com.conjugate.adsblocker.apk,0.0,0.0,85.71,50.0
com.opera.vpn.apk,0.0,16.67,100.0,0.0
com.grvsoftware.GRVCPS.apk,0.0,0.0,50.0,0.0
com.flyperinc.flyperlink.apk,5.88,25.0,66.67,0.0
com.zohib.browser.apk,75.0,25.0,66.67,0.0
com.jerky.browser2.apk,11.76,25.0,66.67,0.0
mobi.flame.browser.apk,12.24,12.5,94.12,0.0
com.jiran.xkeeperMobile.apk,13.04,0.0,100.0,0.0
siy.browser.apk,83.33,0.0,100.0,0.0
com.appsverse.photon.apk,11.11,30.0,60.0,0.0
com.btzsoft.vpnclient.apk,0.0,100.0,60.0,0.0
com.mmbox.xbrowser.gp.apk,0.0,100.0,60.0,0.0
jad.internet.browser.block.apk,62.5,100.0,60.0,0.0
com.chisstech.android2.apk,5.88,16.67,100.0,0.0
com.wFastCat.apk,0.0,0.0,83.33,0.0
com.mmbox.xbrowser.pro.apk,0.0,0.0,83.33,0.0
com.blinkbuddies.musicalbabymobile.apk,0.0,0.0,83.33,0.0
com.saschaha.browser.apk,0.0,0.0,83.33,0.0
com.bluepointsecurity.adtrapaurora.apk,0.0,0.0,0.0,100.0
or.kr.moiba.winc.apk,90.91,0.0,0.0,100.0
it.mic.rassegnastampa.apk,0.0,0.0,0.0,100.0
com.vionika.firephoenix.apk,90.32,7.14,69.23,22.22
com.lausny.ocvpnaio.allpay.apk,25.0,0.0,50.0,22.22
jad.fast.internet.browser.apk,55.56,0.0,50.0,22.22
hotspotshield.android.vpn.apk,2.78,30.0,92.31,100.0
org.adblockplus.adblockplussbrowser.apk,0.0,0.0,100.0,100.0
com.inquso.email.apk,46.15,44.44,54.55,100.0
com.mobilefence.family.apk,0.0,25.0,41.67,100.0
jp.myumyu.piggybrowser.apk,0.0,25.0,41.67,100.0
dotc.mobi.swift.browser.apk,25.64,33.33,100.0,100.0
sairam.simplebrowser.apk,0.0,33.33,100.0,100.0
com.mls.updater.apk,0.0,0.0,80.0,100.0
com.browser.securebrowser.apk,38.46,7.69,55.56,0.0
browser4g.fast.internetwebexplorer.apk,22.22,0.0,33.33,0.0
net.bypass.vpn.apk,0.0,33.33,66.67,0.0
com.iamveryrich.apk,0.0,33.33,66.67,0.0
mobi.mgeek.browserfaster.apk,0.0,100.0,66.67,0.0
es.soguezvm.supreme.apk,0.0,0.0,66.67,0.0
mvvmappiappi.mvvmappiappi.apk,0.0,0.0,66.67,0.0
com.seven.adclear.fsb.apk,33.33,0.0,100.0,100.0
zerolab.android.pdown.apk,20.0,0.0,50.0,0.0
com.mwm.thequest.apk,0.0,0.0,50.0,0.0
net.rocket.browser.apk,75.0,0.0,50.0,0.0
gl.msk.bro.apk,83.33,0.0,50.0,0.0
com.chimbori.hermitcrab.apk,33.33,66.67,83.33,0.0
com.mx.browser.apk,25.0,10.0,60.0,75.0
com.oorweb.uc.Activity.apk,2.38,0.0,100.0,75.0
com.lookout.apk,11.93,18.52,74.07,75.0
edu.berkeley.icsi.netalyzr.android.apk,11.76,0.0,0.0,100.0
com.mobligation.timberbrowser.apk,17.65,37.5,75.0,50.0
io.snapbrowser.lite.apk,14.29,0.0,75.0,50.0
com.dolphin.browser.engine.apk,50.0,100.0,75.0,50.0
jp.co.fenrir.android.sleipnir.apk,9.52,0.0,100.0,50.0
com.prbstudios.firebird.apk,73.33,0.0,50.0,50.0
com.ifreedomv2.apk,0.0,0.0,50.0,50.0
mobi.mgeek.TunnyBrowser.apk,13.64,0.0,64.29,16.67
com.kubopirez.fast.speed.internet.browser.apk,81.82,0.0,64.29,16.67
com.rocketshipapps.adblockfast.apk,0.0,0.0,100.0,50.0
com.cloudmosa.puffinFree.apk,0.0,0.0,100.0,50.0
