file_name,class_name,package_component,detail
adblock.browser.lightning.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
adblock.browser.lightning.apk,classes.dex,compiler,['dx (possible dexmerge)']
adblock.browser.lightning.apk,classes.dex,manipulator,['dexmerge']
com.adsbrower.apk,classes.dex,anti_vm,"['Build.MANUFACTURER check', 'Build.BOARD check', 'network operator name check']"
com.adsbrower.apk,classes.dex,compiler,['dx']
com.ilegendsoft.mercury.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'network operator name check']"
com.ilegendsoft.mercury.apk,classes.dex,compiler,['dx']
com.ideashower.readitlater.pro.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
com.ideashower.readitlater.pro.apk,classes.dex,compiler,['dx']
acr.browser.barebones.apk,classes.dex,compiler,['dx']
tr.abak.simsekTarayici.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
tr.abak.simsekTarayici.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'network operator name check', 'possible VM check']"
tr.abak.simsekTarayici.apk,classes.dex,compiler,['dx']
com.marthogames.starlander.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
com.marthogames.starlander.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.marthogames.starlander.apk,classes.dex,manipulator,['dexmerge']
com.dolphin.browser.android.jp.apk,assets/FlurryAnalytics-5.3.0.jar!classes.dex,compiler,['dx']
com.dolphin.browser.android.jp.apk,assets/zxing.zip!classes.dex,compiler,['dx']
com.dolphin.browser.android.jp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'network operator name check']"
com.dolphin.browser.android.jp.apk,classes.dex,compiler,['dx']
com.dolphin.browser.android.jp.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
com.wDeepSeacrhBrowser.apk,classes.dex,compiler,['dx']
com.ghostery.android.ghostery.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.ghostery.android.ghostery.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.PRODUCT check', 'Build.TAGS check']"
com.ghostery.android.ghostery.apk,classes.dex,compiler,['dx']
com.jakkarrlgames.mathguru.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
com.jakkarrlgames.mathguru.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.jakkarrlgames.mathguru.apk,classes.dex,manipulator,['dexmerge']
com.jiran.xkeeperMonitor.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'network operator name check']"
com.jiran.xkeeperMonitor.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.jiran.xkeeperMonitor.apk,classes.dex,manipulator,['dexmerge']
com.cleanmaster.security.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check', 'ro.build.type check', 'ro.product.device check']"
com.cleanmaster.security.apk,classes.dex,compiler,['dx']
org.adblockplus.browser.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'SIM operator check']"
org.adblockplus.browser.apk,classes.dex,compiler,['dx']
com.flyingcat.retroracing.apk,classes.dex,anti_vm,"['Build.MANUFACTURER check', 'SIM operator check']"
com.flyingcat.retroracing.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.flyingcat.retroracing.apk,classes.dex,manipulator,['dexmerge']
ads.blocker.browser.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'network operator name check']"
ads.blocker.browser.apk,classes.dex,compiler,['dx (possible dexmerge)']
ads.blocker.browser.apk,classes.dex,manipulator,['dexmerge']
com.baidu.browser.inter.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'network operator name check', 'subscriber ID check']"
com.baidu.browser.inter.apk,classes.dex,compiler,['dx']
org.torproject.android.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
org.torproject.android.apk,classes.dex,compiler,['dx (possible dexmerge)']
org.torproject.android.apk,classes.dex,manipulator,['dexmerge']
org.zirco.apk,classes.dex,compiler,['dx']
com.lichme.wootstalker.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.lichme.wootstalker.apk,classes.dex,manipulator,['dexmerge']
free.publicvpn.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
free.publicvpn.apk,classes.dex,compiler,['dx']
com.jrzheng.supervpnfree.apk,classes.dex,anti_vm,"['Build.MANUFACTURER check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check']"
com.jrzheng.supervpnfree.apk,classes.dex,compiler,['dx']
com.wFastWebbrowserFree.apk,classes.dex,compiler,['dx']
com.tigervpns.android.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'possible VM check']"
com.tigervpns.android.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.tigervpns.android.apk,classes.dex,compiler,['dx']
com.tigervpns.android.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'SIM operator check', 'network operator name check']"
com.tigervpns.android.apk,classes2.dex,compiler,['dx']
com.blmonitor.apk,classes.dex,anti_vm,"['Build.MANUFACTURER check', 'Build.BOARD check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check']"
com.blmonitor.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.blmonitor.apk,classes.dex,manipulator,['dexmerge']
com.betafish.adblocksbrowser.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.betafish.adblocksbrowser.apk,classes.dex,manipulator,['dexmerge']
net.ac.browser.apk,classes.dex,compiler,['dx']
com.opera.browser.apk,classes.dex,anti_disassembly,['illegal class name']
com.opera.browser.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check']"
com.opera.browser.apk,classes.dex,compiler,['dx']
com.play.adskip.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.play.adskip.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'possible VM check']"
com.play.adskip.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.play.adskip.apk,classes.dex,manipulator,['dexmerge']
com.kiddoware.kidsafebrowser.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check']"
com.kiddoware.kidsafebrowser.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.kiddoware.kidsafebrowser.apk,classes.dex,manipulator,['dexmerge']
org.adblockplus.android.apk,classes.dex,compiler,['dx']
com.paloaltonetworks.globalprotect.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.paloaltonetworks.globalprotect.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.paloaltonetworks.globalprotect.apk,classes.dex,compiler,['dx']
com.titlisapp.simpleflv.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.BOARD check', 'possible Build.SERIAL check', 'network operator name check']"
com.titlisapp.simpleflv.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.titlisapp.simpleflv.apk,classes.dex,manipulator,['dexmerge']
com.yandex.browser.apk,classes.dex,anti_disassembly,['illegal class name']
com.yandex.browser.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check']"
com.yandex.browser.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.yandex.browser.apk,classes.dex,compiler,['dx']
com.cliqz.browser.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'SIM operator check', 'network operator name check']"
com.cliqz.browser.apk,classes.dex,compiler,['dx']
com.imoblife.checkadd_plug_in.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.imoblife.checkadd_plug_in.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'possible VM check']"
com.imoblife.checkadd_plug_in.apk,classes.dex,compiler,['dx']
com.opera.browser.beta.apk,classes.dex,anti_disassembly,['illegal class name']
com.opera.browser.beta.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check']"
com.opera.browser.beta.apk,classes.dex,compiler,['dx']
com.frozenriver.sigmavpn.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.frozenriver.sigmavpn.apk,classes.dex,manipulator,['dexmerge']
com.hsv.freeadblockerbrowser.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'SIM operator check']"
com.hsv.freeadblockerbrowser.apk,classes.dex,compiler,['dx']
com.mobligation.timberadblock.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'network operator name check']"
com.mobligation.timberadblock.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.mobligation.timberadblock.apk,classes.dex,manipulator,['dexmerge']
com.wMagnetobrowser.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'SIM operator check', 'network operator name check']"
com.wMagnetobrowser.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.wMagnetobrowser.apk,classes.dex,manipulator,['dexmerge']
com.wMagnetobrowser.apk,classes.dex,obfuscator,"['Arxan', 'unreadable field names', 'unreadable method names']"
co.crystalapp.crystal.apk,classes.dex,compiler,['dx']
trim.altict.com.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
trim.altict.com.apk,classes.dex,compiler,['dexlib 2.x']
com.whatsapp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
com.whatsapp.apk,classes.dex,compiler,['dx']
com.posstream.Monitor.apk,assets/shutdownhelper!classes.dex,compiler,['dx (possible dexmerge)']
com.posstream.Monitor.apk,assets/shutdownhelper!classes.dex,manipulator,['dexmerge']
com.posstream.Monitor.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.posstream.Monitor.apk,classes.dex,manipulator,['dexmerge']
com.posstream.Monitor.apk,bin/RootTools.apk!classes.dex,compiler,['dx']
com.posstream.Monitor.apk,bin/classes.dex,compiler,['dx']
com.tako.android.cleanpage.apk,res/raw/voice.mp3!classes.dex,compiler,['dx']
com.tako.android.cleanpage.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'network operator name check']"
com.tako.android.cleanpage.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.tako.android.cleanpage.apk,classes.dex,manipulator,['dexmerge']
com.aqh.medways.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.aqh.medways.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
com.aqh.medways.apk,classes.dex,compiler,['dx']
com.opera.mini.native.apk,classes.dex,anti_disassembly,['illegal class name']
com.opera.mini.native.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check']"
com.opera.mini.native.apk,classes.dex,compiler,['dx']
org.mozilla.firefox.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'SIM operator check']"
org.mozilla.firefox.apk,classes.dex,compiler,['dx']
com.dolphin.browser.express.web.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'network operator name check']"
com.dolphin.browser.express.web.apk,classes.dex,compiler,['dx']
com.dolphin.browser.express.web.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.dolphin.browser.express.web.apk,classes2.dex,anti_vm,"['Build.MODEL check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.dolphin.browser.express.web.apk,classes2.dex,compiler,['dx']
com.adguard.android.contentblocker.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.adguard.android.contentblocker.apk,classes.dex,manipulator,['dexmerge']
com.mokee.yubrowser.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
com.mokee.yubrowser.apk,classes.dex,compiler,['dx']
com.secore.privacyshield.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'network operator name check']"
com.secore.privacyshield.apk,classes.dex,compiler,['dx']
com.secore.privacyshield.apk,lib/armeabi/libsce.so,obfuscator,['Obfuscator-LLVM version 3.4']
com.secore.privacyshield.apk,lib/armeabi-v7a/libsce.so,obfuscator,['Obfuscator-LLVM version 3.4']
com.excelliance.adblock.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.excelliance.adblock.apk,classes.dex,manipulator,['dexmerge']
co.zew.deebrowser.apk,classes.dex,anti_vm,['Build.MANUFACTURER check']
co.zew.deebrowser.apk,classes.dex,compiler,['dx (possible dexmerge)']
co.zew.deebrowser.apk,classes.dex,manipulator,['dexmerge']
com.jet.browser.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check']"
com.jet.browser.apk,classes.dex,compiler,['dx (possible dexmerge)']
